x,y,z,gx,gy,gz
0.770422,1.22365,4.20675,0.760315,1.31081,4.25344
0.771888,1.22616,4.20753,0.761939,1.31264,4.25398
0.773338,1.22868,4.20833,0.763562,1.31446,4.25452
0.774774,1.23121,4.20914,0.765184,1.31627,4.25506
0.776195,1.23375,4.20996,0.766805,1.31808,4.2556
0.777602,1.2363,4.2108,0.768424,1.31987,4.25614
0.778995,1.23886,4.21165,0.770042,1.32166,4.25668
0.780374,1.24142,4.21251,0.771659,1.32344,4.25722
0.781741,1.24399,4.21339,0.773275,1.32521,4.25776
0.783094,1.24657,4.21428,0.77489,1.32697,4.2583
0.784436,1.24915,4.21518,0.776503,1.32872,4.25883
0.785765,1.25174,4.2161,0.778115,1.33047,4.25937
0.787083,1.25433,4.21702,0.779726,1.3322,4.25991
0.78839,1.25692,4.21796,0.781336,1.33393,4.26045
0.789686,1.25952,4.21891,0.782944,1.33565,4.26098
0.790972,1.26211,4.21987,0.784551,1.33736,4.26152
0.792247,1.26471,4.22084,0.786157,1.33907,4.26205
0.793513,1.26732,4.22182,0.787762,1.34076,4.26259
0.79477,1.26992,4.22281,0.789365,1.34245,4.26312
0.796017,1.27252,4.22381,0.790968,1.34413,4.26366
0.797256,1.27512,4.22482,0.792569,1.3458,4.26419
0.798486,1.27772,4.22584,0.794168,1.34746,4.26472
0.799709,1.28032,4.22687,0.795767,1.34911,4.26526
0.800924,1.28292,4.22791,0.797364,1.35075,4.26579
0.802132,1.28551,4.22895,0.79896,1.35239,4.26632
0.803333,1.2881,4.23001,0.800555,1.35401,4.26685
0.804527,1.29069,4.23107,0.802148,1.35563,4.26738
0.805714,1.29327,4.23214,0.80374,1.35724,4.26791
0.806896,1.29585,4.23322,0.805331,1.35884,4.26844
0.808072,1.29843,4.23431,0.806921,1.36043,4.26897
0.809243,1.30099,4.2354,0.808509,1.36202,4.2695
0.810409,1.30356,4.2365,0.810096,1.36359,4.27003
0.811569,1.30611,4.23761,0.811682,1.36516,4.27056
0.812726,1.30866,4.23872,0.813266,1.36672,4.27109
